score,count
1342,21000
1343,21000
1344,21000
1345,21000
1346,21000
1347,21000
1348,21000
1349,21000
1350,21000
1351,21000
1352,21000
1353,21000
1354,21000
1355,21000
1356,21000
1357,21000
1358,21000
1359,21000
1360,21000
1361,21000
1362,21000
1363,21000
1364,21000
1365,21000
1366,21000
1367,21000
1368,21000
1369,21000
1370,21000
1371,21000
1372,21000
1373,21000
1374,21000
1375,21000
1376,21000
1377,21000
1378,21000
1379,21000
1380,21000
1381,21000
1382,21000
1383,21000
1384,21000
1385,21000
1386,21000
1387,21000
1388,21000
1389,21000
1390,21000
1391,21000
1392,21000
1393,21000
1394,21000
1395,21000
1396,21000
1397,21000
1398,21000
1399,21000
1400,21000
1401,21000
1402,21000
1403,21000
1404,21000
1405,21000
1406,21000
1407,21000
1408,21000
1409,21000
1410,21000
1411,21000
1412,21000
1413,21000
1414,21000
1415,21000
1416,21000
1417,21000
1418,21000
1419,21000
1420,21000
1421,21000
1422,21000
1423,21000
1424,21000
1425,21000
1426,21000
1427,21000
1428,21000
1429,21000
1430,21000
1431,21000
1432,21000
1433,21000
1434,21000
1435,21000
1436,21000
1437,21000
1438,21000
1439,21000
1440,21000
1441,21000
1442,21000
1443,21000
1444,21000
1445,21000
1446,21000
1447,21000
1448,21000
1449,21000
1450,21000
1451,21000
1452,21000
1453,21000
1454,21000
1455,21000
1456,21000
1457,21000
1458,21000
1459,21000
1460,21000
1461,21000
1462,21000
1463,21000
1464,21000
1465,21000
1466,21000
1467,21000
1468,21000
1469,21000
1470,21000
1471,21000
1472,21000
1473,21000
1474,21000
1475,21000
1476,21000
1477,21000
1478,21000
1479,21000
1480,21000
1481,21000
1482,21000
1483,21000
1484,21000
1485,21000
